Name,Maze,Combination,Move 0,Move 1,Move 2,Move 3,Move 4,Move 5,Move 6,Move 7,Move 8
1s25,C,ABC,b7,a5,a4,a3,c4,e5,d1,f1,g1
1s26,B,BCA,f1,e1,d1,a1,b3,f4,d5,g6,d7
1s26,C,BCA,b7,a5,a4,a3,c4,e5,d1,f1,g1
1s26,A,BCA,f5,f4,g2,e3,a3,a6,d5,e6,g6
1s27,C,CAB,b7,a5,a4,a3,c4,e5,d1,f1,g1
1s27,A,CAB,f5,f4,g2,e3,a3,a6,d5,e6,g6
1s27,B,CAB,f1,e1,d1,a1,b3,f4,g6,d5,d7
1s28,A,ABC,f5,g6,e6,a6,d5,a3,e3,f4,g2
1s28,B,ABC,f1,e1,d1,a1,b3,d5,d7,f4,g6
1s28,C,ABC,b7,a5,a4,a3,c4,e5,d1,f1,g1
1s29,B,BCA,f1,f4,g6,d7,d5,b3,a1,d1,e1
1s29,C,BCA,b7,a5,a4,a3,c4,e5,g1,f1,d1
1s29,A,BCA,f5,g6,g2,f4,e3,e6,d5,a6,a3
1s30,C,CAB,b7,a5,a4,a3,c4,e5,d1,f1,g1
1s30,A,CAB,f5,g6,e6,f4,g2,e3,d5,a6,a3
1s30,B,CAB,f1,e1,d1,a1,b3,f4,g6,d5,d7
1s31,A,ABC,f5,g6,e6,a6,d5,a3,e3,f4,g2
1s31,B,ABC,f1,e1,d1,a1,b3,d5,d7,g6,f4
1s31,C,ABC,b7,e5,c4,a5,a4,a3,d1,f1,g1
1s32,B,BCA,f1,e1,d1,a1,b3,d5,d7,g6,f4
1s32,C,BCA,b7,a5,a4,a3,d1,f1,g1,c4,e5
1s32,A,BCA,f5,g6,e6,d5,a6,a3,e3,g2,f4
1s33,C,CAB,b7,e5,c4,a5,a4,a3,d1,f1,g1
1s33,A,CAB,f5,g6,e6,d5,a6,a3,e3,f4,g2
1s33,B,CAB,f1,e1,d1,a1,b3,d7,d5,f4,g6
1s34,A,ABC,f5,e6,a6,d5,a3,e3,g2,fe,g6
1s34,B,ABC,f1,e1,d1,a1,b3,d5,d7,g6,f4
1s34,C,ABC,b7,a5,a4,a3,c4,d1,f1,g1,e5
1s35,B,BCA,f1,e1,d1,a1,b3,d5,d7,g6,f4
1s35,C,BCA,b7,a5,a4,a3,c4,e5,d1,f1,g1
1s35,A,BCA,f5,f4,e3,g2,g6,e6,d5,a3,a6
1s36,C,CAB,b7,a5,a4,a3,c4,e5,d1,f1,g1
1s36,A,CAB,f5,g6,f4,g2,e3,a3,a6,d5,e6
1s36,B,CAB,f1,e1,d1,a1,b3,d5,d7,g6,f4
